FEN,eval
rnbr2k1/pp2ppbp/5np1/2p5/2P1P3/2N1BP2/PP4PP/R3KBNR w KQ - 0 9,0.15
4rnk1/p1p2ppp/1p1p4/4r1P1/8/2PPB2R/PPK2PP1/3R4 b - - 1 22,-0.14
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,0.15
rn1q1rk1/pb2bppp/1pp1p3/3n4/3P4/P1NBPN2/1P3PPP/R1BQK2R w KQ - 2 10,0.16
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,0.12
1r4k1/2q1bp1p/3p2p1/3Qp1Pn/1p2P1RP/3N1P2/PpPB4/1K6 b - - 1 32,0.26
3r2k1/1p1q1pb1/4p1np/1PPp2p1/r2P4/2NQ1N1P/5PP1/3R2K1 w - - 0 26,0.19
r3rbk1/1bpq1ppp/p1np1n2/1p2p3/P2PP3/1BP2N1P/1P1N1PP1/R1BQR1K1 w - - 1 13,0.07
3rrbk1/pppq1bpp/1np2p2/4p3/PPP1P1P1/3PNN1P/5P2/RQ1RB1K1 b - - 0 18,0.13
r2q1rk1/1ppb1pbp/3p1np1/p1nPp3/2P5/1PN3P1/PB1NPPBP/R2Q1RK1 b - - 4 11,0.21
2r1rnk1/pp3p1p/2b3p1/3pP1q1/1P2p3/4P3/PB1QBPPP/2RR2K1 b - - 0 19,-0.23
r1b2rk1/pp1n1ppp/5n2/q2p1BB1/1bpP4/2N1PN2/PPQ2PPP/R4RK1 b - - 3 11,-0.18
r2q1rk1/pppbppbp/3p1np1/3Pn3/2P1P3/2N1B3/PP2BPPP/R2QK1NR w KQ - 1 10,0.24
r4rk1/1ppbq1b1/3p4/p2Ppp1p/2P2P1P/4B2R/PP1QN1P1/1K1R4 b - - 2 21,-0.09
5k2/5pp1/4n3/1pPN4/1P2P3/2b1BP1r/r5R1/3R2K1 b - - 12 43,-2.74
2rq1rk1/5pp1/p2pp2p/1p6/3NbPPb/3Q4/PPP4P/1K1R2R1 w - - 0 19,-0.76
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,-0.12
rnbqkbnr/pp1ppppp/8/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,-0.26
2r3k1/Q4pb1/Rnq3pp/4p3/3P4/2N1P1P1/P2B1P1P/6K1 b - - 2 32,-4.24
6k1/p1r1bpp1/p3pn1p/2q5/2B5/1P2NQ1P/5PP1/3R2K1 w - - 0 25,-0.74
r2q1rk1/pp3ppp/3b1n2/2np4/8/1N6/PPP1NPPP/R1BQ1RK1 w - - 4 11,-0.18
2kr4/p1p1brpp/8/2ppR3/5P2/3P4/PPP2PKP/1RB5 b - - 4 19,-0.23
3r4/ppq2rkp/3n1pp1/n2p4/PQpP1RP1/B1P1P3/2B3PP/5RK1 b - - 8 22,0.19
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,0.12
6k1/1b4p1/pp3q1p/2rp4/4p3/1P2P1PB/P2Q1P1P/3R2K1 w - - 0 27,-0.04
7k/8/p4P2/1p1nP2p/2p3q1/2P5/PPBQ2PK/8 b - - 0 43,-6.55
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,0.15
3R4/p1kb4/2p2r2/4p1p1/1Pp1B1p1/2K1P1Pp/P1P4P/8 w - - 0 36,-0.47
1r2q1bk/6p1/4N1rp/4Q3/1P2p2b/1BP5/R4PPP/5R1K w - - 1 43,2.55
r4rk1/pp2bpp1/1nq1p2p/4P3/2P1N2P/1P1Q4/P2B2P1/1K1R3R b - - 0 21,0.0
5rk1/p1qrnpb1/b5p1/2B1p2p/2P1P3/3P2PP/PN3QB1/R4RK1 w - - 3 23,0.31
6r1/pp4bp/2k1pr2/3p4/3R1P2/3B2P1/PPP4P/1K5R w - - 0 27,0.91
1n1r1br1/pkpq3p/1p2pp2/1P1p1n2/P2P4/3P1NNQ/3B1PPP/R3R1K1 b - - 5 18,-0.67
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,0.14
r1b2rk1/pp2ppbp/1qn2np1/8/1PB2B2/P3PN1P/3N1PP1/2RQK2R b K - 2 12,-0.02
3q1nk1/5ppp/1pNp4/1Pn5/2P1BP2/3r2P1/1Q5P/4R1K1 b - - 6 30,-5.0
2rr2k1/p3qpp1/1p1p3p/2p5/2PPb3/PnP1P2Q/4BBPP/1R1R2K1 b - - 3 23,1.85
4K1k1/5p2/2q5/6PP/5Q2/8/8/8 w - - 65 96,0.0
r2qkb1r/pp3p1p/2p2p2/n2p1b2/Q2P4/2N1PN2/PP3PPP/R3KB1R b KQkq - 0 10,0.16
1Q6/2r1kp1p/7P/2q1p1p1/4P3/6P1/5PK1/R7 b - - 4 42,-0.23
1k1r3r/1p2q2n/pP6/P2pPBp1/2pP1p2/2P5/5RQP/4R1K1 b - - 3 39,0.0
r4rk1/ppp2qpp/2b1pn2/3pR3/3P4/2N5/PPP2PPP/R1BQ2K1 w - - 1 13,0.2
5k2/6pp/4p3/3r2R1/2p4P/1nP1B1p1/1P2K3/8 w - - 2 34,-0.37
r3r1k1/1bq2pbp/pp1p2p1/4B1P1/Pn2P3/1NN4Q/1PP2RBP/5R1K b - - 0 23,-0.06
8/2r5/7p/pp1P2k1/8/P1P2R1K/6P1/8 w - - 1 53,0.92
1r1r1bk1/p4p2/2n2npp/1pN1p3/1P2P3/1NP3P1/2R2PKP/R1B5 b - - 5 25,-0.17
8/3n4/3kp1p1/1p4Pp/1P1KpP1P/3N4/8/8 w - - 0 45,0.21
r1bqkb1r/pp3ppp/2n2n2/2pp4/3P4/2N2NP1/PP2PP1P/R1BQKB1R w KQkq - 1 7,0.11
8/6k1/6p1/4K1P1/4P1R1/r7/8/8 w - - 15 74,0.6
5rk1/q1R5/p3p3/1p1b3p/NQ2n1pP/1P6/P3BPP1/5RK1 b - - 0 35,3.44
r1b2rk1/2qp1ppp/pNp1pn2/8/1b2P3/4B3/PPP1BPPP/R2Q1RK1 b - - 1 11,0.04
r1b2rk1/p1n2pb1/3q2p1/1ppP3p/4P3/1PNB2N1/P4PP1/2RQ1RK1 b - - 1 17,0.23
r3qrk1/1b2bpp1/pp2pn1p/2n1N3/2B4B/2N1P3/PP2QPPP/2RR2K1 b - - 3 15,0.27
rnbqkbnr/ppp1pppp/8/3p4/3P1B2/8/PPP1PPPP/RN1QKBNR b KQkq - 1 2,-0.11
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,-0.14
1r3r1k/R4p2/3p2pb/1PnNp1q1/2P1P1Bp/R6P/5PP1/3Q2K1 b - - 2 29,-1.91
r1bq1r1k/pp2n1pp/2p2p2/3pP3/8/1BP2N2/PP2QKPP/RNB5 b - - 0 14,0.42
rnbqk1nr/ppp1ppbp/3p2p1/8/2PPP3/8/PP3PPP/RNBQKBNR w KQkq - 0 4,0.24
rn1qr1k1/p1p2p1p/1p1b1np1/3P1pB1/3P3P/P1NQ4/1P2PPB1/R3K2R b KQ - 0 13,-0.7
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,0.14
3r1rk1/pp2ppbp/2bp1np1/q7/3BPP2/1BNQ3P/PPP3P1/R4RK1 w - - 3 14,0.17
r4rk1/5pp1/p2p1b1p/1p1Pq3/P1p1P3/6PP/1PQN1PK1/R3R3 w - - 0 23,-0.13
4r3/p6k/2Q3q1/2P1p3/3Pp3/4P3/P2K1P2/8 w - - 1 34,-2.29
r1r3k1/1nqbb1np/3p4/1ppPpp2/1P6/2P1NN1P/1BBQ1PP1/R3R1K1 w - - 0 22,0.28
rnbqk2r/ppp1bppp/4pn2/3p2B1/2PP4/2N1P3/PP3PPP/R2QKBNR b KQkq - 0 5,-0.16
r1bqk2r/pp1p1ppp/2n1pn2/8/2PP4/R1N2N2/1P2PPPP/3QKB1R b Kkq - 2 8,-0.26
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,0.13
8/p4qk1/1pQ1pbp1/1P1p3p/3P3P/3BP1P1/5P2/6K1 w - - 9 45,0.35
2r2bk1/5p1p/6p1/4P3/5P2/4B2P/1p2K1P1/4R3 w - - 0 35,-0.93
2r1bnk1/ppr3p1/2nbpq1p/3p4/B2P4/P1B2N2/1P1QNPPP/4RRK1 w - - 17 20,-0.13
rnbqkb1r/pppppppp/5n2/8/2PP4/8/PP2PPPP/RNBQKBNR b KQkq - 0 2,-0.05
r4rk1/1p3p2/p7/3p3R/5Pp1/3Q4/Pq4KP/8 w - - 2 26,-7.0
2b2rk1/4b2p/pq2p3/1pn1P1p1/2p2p2/2N3P1/1PQ2PBP/R2R2K1 b - - 0 19,2.73
r3r1k1/2p2pp1/2p4B/1p3P1p/p2bP3/q2P3P/2PQ1P1K/1R4R1 b - - 2 23,1.55
rnbqkbnr/pp3ppp/3pp3/8/2PpP3/5N2/PP3PPP/RNBQKB1R w KQkq - 0 5,0.24
rnbqkbnr/pp2pppp/2p5/3p4/3PP3/8/PPPN1PPP/R1BQKBNR b KQkq - 1 3,-0.29
rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,0.27
7k/pp3brn/2p2p1Q/3n1Pp1/3qR1P1/3B4/PP2RN2/5K2 b - - 7 36,-1.47
r4rk1/1bqnbppp/p3p3/1p2P3/3BN3/8/PPP1B1PP/3RQRK1 w - - 3 16,0.0
8/6pk/2b1p2p/4n3/PR2P3/B7/1KB2rPP/8 w - - 5 36,0.66
r3r1k1/1p2qpp1/p3b2p/P2p4/3BnPP1/R4B2/1PP4P/3Q1RK1 w - - 6 20,0.2
r2q1rk1/pppn1pbp/5np1/4p3/4P1b1/2N1BN2/PPPQBPPP/R4RK1 w - - 0 10,0.48
r5k1/1b3q2/1b1N3p/p1pp2pn/P7/2P5/1PQN1PPP/R3r1K1 w - - 0 22,-0.83
7k/Q6p/1p2q1n1/4p3/6N1/P6P/5PP1/7K w - - 1 38,1.73
q4rk1/3Q2pp/2p3b1/1pP1Rn2/1P2N3/6P1/r4PBP/5RK1 b - - 6 32,-0.92
rnbqkbnr/pp2pppp/2p5/3p4/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,0.18
rnbqkbnr/ppp2ppp/4p3/3pP3/3P4/8/PPP2PPP/RNBQKBNR b KQkq - 0 3,0.01
r1b1k2r/p1p3bp/2p3p1/4p3/2P5/1P3B2/P1KB2PP/4R2R b kq - 3 21,-0.1
r2r2k1/5pp1/2p1p2p/2PqR2P/1p1P1PP1/pP1Q4/P7/1K1R4 b - - 0 26,0.35
8/p2R4/4pbk1/1Pq2r1p/P7/6P1/4QPKP/8 w - - 9 47,0.0
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,0.15
rnbqkbnr/pppppppp/8/8/2P5/8/PP1PPPPP/RNBQKBNR b KQkq - 0 1,0.02
r4r1k/3n1p1p/p2p1p2/1p3Q2/4P3/1P5P/P1q2P2/R1B3RK b - - 3 24,0.0
2k4r/p1nq1nb1/1pp1p1pr/3pPp1p/3P1P2/2P1BNPP/PPQ2N2/1K1R3R w - - 0 27,0.69
rnbqkb1r/pp3ppp/3ppn2/8/3NP1P1/2N5/PPP2P1P/R1BQKB1R b KQkq - 0 6,-0.04
rn1q1rk1/pb2ppbp/1p4p1/2pn4/3P4/1P3NP1/PB2PPBP/RN1Q1RK1 w - - 0 10,0.11
2kr1b2/p1p4p/6p1/1p3p2/1P1N1P2/P1R1K3/6PP/8 b - - 0 35,1.2
rnbqkb1r/ppp1pp1p/6p1/3n4/3PP3/2N5/PP3PPP/R1BQKBNR b KQkq - 0 5,-0.12
6R1/8/8/2p2p2/2Pb2pk/R7/P1r5/5K2 w - - 2 58,-2.48
r2qkb1r/pp1nppp1/2p2n1p/7P/3P4/3Q1NN1/PPP2PP1/R1B1K2R w KQkq - 1 11,0.22
